ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
1802,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
2912,2010-01-04,2017-12-29,666666.6666666666,1662692.9570000004,996026.2903333338,149.404192954193,12.3614357398655,19.10035313865816,0.6471836227387111,-23.868369302272583,8,,996026.9570000005,0.0
2413,2010-01-04,2017-12-29,666666.6666666666,296001.33800000005,-370665.3286666666,-55.59975489975489,-9.836465646951876,18.600013565604105,0.0,-55.59975489975489,2,0.0,0.0,-370664.66199999995
2109,2010-01-04,2017-12-29,666666.6666666666,740368.838,73702.17133333336,11.055436755436753,1.3462562497800201,7.81479325037341,0.1722702324486566,-5.602679902679908,1,,73702.83799999999,0.0
6141,2010-01-04,2017-12-29,666666.6666666666,515330.2305000002,-151336.43616666645,-22.7003881253881,-3.2303406994032113,29.648791463417503,0.0,-50.95775802734062,7,0.7182461382342994,180060.4210000001,-331396.1904999999
8087,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
3202,2010-01-04,2017-12-29,666666.6666666666,603238.0090000001,-63428.65766666655,-9.514208164208153,-1.2669208329592951,23.513511422378876,0.0,-35.302477954512135,4,0.883507439062995,150356.21900000004,-213784.20999999988
3055,2010-01-04,2017-12-29,666666.6666666666,408685.09050000005,-257981.57616666658,-38.69717512217512,-6.049886490949563,11.163672800512119,0.0,-38.69717512217511,2,0.0,0.0,-257980.90949999995
3434,2010-01-04,2017-12-29,666666.6666666666,666332.838,-333.82866666663904,-0.04997434997435165,-0.006374636899364461,13.099827979788806,0.0,-15.38442702501479,1,0.0,0.0,-333.16200000001265
1808,2010-01-04,2017-12-29,666666.6666666666,535972.2390000001,-130694.42766666657,-19.604083754083746,-2.7444361430691733,8.462766382035966,0.0,-25.78828993828993,2,0.0,0.0,-130693.76099999991
2440,2010-01-04,2017-12-29,666666.6666666666,657776.8389999999,-8889.827666666708,-1.3333754833754954,-0.1710432694311037,28.37428386295162,0.0,-33.36620766620767,2,0.99104031856645,73702.83799999999,-82591.99900000001
5516,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
5603,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
1201,2010-01-04,2017-12-29,666666.6666666666,624687.8400000001,-41978.826666666544,-6.296730296730284,-0.8259903284605463,8.480222090038069,0.0,-24.99961460553304,1,0.0,0.0,-41978.15999999996
4529,2010-01-04,2017-12-29,666666.6666666666,452661.8975,-214004.7691666666,-32.10064747564747,-4.817356357544133,17.957757538096956,0.0,-48.259986738518954,3,0.0,0.0,-214004.10249999998
